pp-collisionsYear201020112012201520162017SUM0.0381.1072.0820.3281.6651.6096.8293.53.546.56.56.5-,pp-collisions,Year,2010,2011,2012,2015,2016,2017,SUM,,0.038,1.107,2.082,0.328,1.665,1.609,6.829,,3.5,3.5,4,6.5,6.5,6.5,-,,pA-collisionsYear2013SUML_int/pb-135?Ecm/GeV8000-,pA-collisions,Year,2013,SUM,L_int/pb-1,35?,Ecm/GeV,8000,-,,LHCb efficiency breakdown in pp collisions in 2010-201293.05%,LHCb efficiency breakdown in pp collisions in 2010-2012,93.05%
pp-collisions
Year,2010,2011,2012,2015,2016,2017,SUM
,0.038,1.107,2.082,0.328,1.665,1.609,6.829
,3.5,3.5,4,6.5,6.5,6.5,-
pA-collisions
Year,2013,SUM
L_int/pb-1,35?
Ecm/GeV,8000,-
LHCb efficiency breakdown in pp collisions in 2010-2012
93.05%
